date,strategy_id,strategy_version,candidate_asset,selected_asset,model_candidate_exposure,trend_permission_active,actual_held_asset,authorized_tradable_asset,held_asset,current_asset,effective_market_exposure,current_exposure,exposure,regime,market_state,execution_state,execution_target_asset,execution_target_exposure,trend_state,trend_score,buy_threshold,model_candidate_return_gross,model_candidate_return_net,model_candidate_equity,authorized_return_gross,authorized_return_net,authorized_equity,btc_close,btc_return,btc_baseline_equity,btc_baseline_index,return_gross,return_net,equity,drawdown_pct,fees_daily,fees_cumulative,funding_daily,funding_cumulative,borrow_cost_daily,borrow_cost_cumulative,slippage_cost_daily,slippage_cost_cumulative,turnover,cash_day,btc_day,in_market,is_rebalance_day,asset_transition_day,trend_block_day,stress_block_day,trend_gate_pass,leverage_active,leverage_state_reason,trend_activation_threshold,reason_code,early_risk_active,cooldown_blocked_entry,etf_flow_feature_available,etf_flow_evidence_window,etf_flow_rule_active,etf_flow_causal_date_available,rolling_return_7d,rolling_return_30d,rolling_return_90d,rolling_vol_30d,rolling_sharpe_90d,source_validated
2018-05-05,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,CASH,CASH,0.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9864.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-06,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9659.01,-0.02078163017,0.97921836983,97.921836983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-07,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9365.0,-0.030438937324,0.949412003244,94.9412003244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-08,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9187.56,-0.01894714362,0.931423357664,93.1423357664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-09,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9310.0,0.013326715689,0.943836171938,94.3836171938,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-10,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9002.2,-0.03306122449,0.912631792376,91.2631792376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,,,,,,True
2018-05-11,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8400.0,-0.066894759059,0.851581508515,85.1581508515,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,0.0,,,,,True
2018-05-12,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8465.94,0.00785,0.858266423357,85.8266423357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,0.0,,,,,True
2018-05-13,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8679.71,0.025250592374,0.879938158961,87.9938158961,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,0.0,,,,,True
2018-05-14,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.166667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8663.34,-0.001886007712,0.878278588808,87.8278588808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,False,False,False,False,False,,0.0,,,,,True
