period,metric,baseline_value,candidate_value,delta_candidate_minus_baseline,return_basis_status,net_costs_included
full_etf_overlap,gross_total_return_pct,1216.067841,1422.1093,206.041459,gross_and_net_reported,True
full_etf_overlap,net_total_return_pct,1191.577417,1347.035817,155.4584,gross_and_net_reported,True
full_etf_overlap,gross_cagr_pct,205.056027,224.874816,19.818789,gross_and_net_reported,True
full_etf_overlap,net_cagr_pct,202.586272,217.840901,15.254629,gross_and_net_reported,True
full_etf_overlap,gross_max_drawdown_pct,-10.514433,-8.57536,1.939073,gross_and_net_reported,True
full_etf_overlap,net_max_drawdown_pct,-11.017632,-9.386068,1.631564,gross_and_net_reported,True
full_etf_overlap,switch_count,34.0,60.0,26.0,gross_and_net_reported,True
full_etf_overlap,trade_count,34.0,60.0,26.0,gross_and_net_reported,True
full_etf_overlap,turnover_total,42.5,55.5,13.0,gross_and_net_reported,True
full_etf_overlap,exposure_days,120.0,197.0,77.0,gross_and_net_reported,True
full_etf_overlap,cash_days_pct,79.310345,66.034483,-13.275862,gross_and_net_reported,True
full_etf_overlap,trading_fees_total_pct,1.9125,2.4975,0.585,gross_and_net_reported,True
full_etf_overlap,funding_total_pct,0.0,0.0,0.0,gross_and_net_reported,True
full_etf_overlap,borrow_cost_total_pct,0.0,0.0,0.0,gross_and_net_reported,True
full_etf_overlap,slippage_cost_total_pct,0.0,2.6,2.6,gross_and_net_reported,True
full_etf_overlap,total_cost_pct,1.9125,5.0975,3.185,gross_and_net_reported,True
full_etf_overlap,early_risk_days,0.0,77.0,77.0,gross_and_net_reported,True
full_etf_overlap,cooldown_blocked_entry_days,0.0,22.0,22.0,gross_and_net_reported,True
since2025,gross_total_return_pct,323.336006,373.58637,50.250364,gross_and_net_reported,True
since2025,net_total_return_pct,319.368503,361.180329,41.811826,gross_and_net_reported,True
since2025,gross_cagr_pct,193.826904,219.504971,25.678067,gross_and_net_reported,True
since2025,net_cagr_pct,191.767594,213.232393,21.464799,gross_and_net_reported,True
since2025,gross_max_drawdown_pct,-8.57536,-8.57536,0.0,gross_and_net_reported,True
since2025,net_max_drawdown_pct,-8.626787,-8.626787,0.0,gross_and_net_reported,True
since2025,switch_count,18.0,32.0,14.0,gross_and_net_reported,True
since2025,trade_count,18.0,32.0,14.0,gross_and_net_reported,True
since2025,turnover_total,21.5,28.5,7.0,gross_and_net_reported,True
since2025,exposure_days,56.0,101.0,45.0,gross_and_net_reported,True
since2025,cash_days_pct,83.333333,69.940476,-13.392857,gross_and_net_reported,True
since2025,trading_fees_total_pct,0.9675,1.2825,0.315,gross_and_net_reported,True
since2025,funding_total_pct,0.0,0.0,0.0,gross_and_net_reported,True
since2025,borrow_cost_total_pct,0.0,0.0,0.0,gross_and_net_reported,True
since2025,slippage_cost_total_pct,0.0,1.4,1.4,gross_and_net_reported,True
since2025,total_cost_pct,0.9675,2.6825,1.715,gross_and_net_reported,True
since2025,early_risk_days,0.0,45.0,45.0,gross_and_net_reported,True
since2025,cooldown_blocked_entry_days,0.0,15.0,15.0,gross_and_net_reported,True
