date,base_ret,overlay_candidate_raw,baseline_held_asset,baseline_asset_source,overlay_candidate_clean,use_baseline_exposure,portfolio_held_asset,is_exposed,trend_score,trend_state_label,buy_threshold,prev_trend_score,crossed_up_today,crossed_down_today,asset_transition_day,days_in_position,switch_day_forced_1x,entry_buffer_day_forced_1x,baseline_equity_curve,baseline_dd_lookback,stress_block_active,tradable_transition_day,tradable_governed_asset,cash_day,trend_gate_pass,trend_block_day,stress_block_day,leverage_eligible,effective_leverage,target_leverage,dynamic_mode,daily_borrow_cost,tradable_slippage_cost,realistic_ret_gross,realistic_ret_before_trading_fees,trading_turnover_notional,fee_side_mode,taker_fee_bps,maker_fee_bps,staking_discount_pct,referral_discount_pct,effective_trading_fee_bps,trading_fees_daily,trading_fees_cumulative,funding_daily,funding_cumulative,realistic_ret_net,realistic_ret,equity_curve_gross,equity_curve_net,equity_curve,leverage_active,leverage_state_reason,trend_activation_threshold,stress_off_threshold,stress_on_threshold,tradable_transition_slippage_bps,dynamic_mid_threshold,dynamic_mid_leverage,dynamic_high_leverage
2018-05-05,0.0,,CASH,asset_col:executed_position,,True,CASH,False,-0.1666666666666666,nezname,0.0,,False,False,False,1,False,False,1.0,0.0,False,False,,True,False,False,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,cash,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-06,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,True,1,True,False,1.0,0.0,False,False,,False,False,False,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,1.0,taker,4.5,1.5,0.0,0.0,4.5,0.00045,0.00045,0.0,0.0,-0.00045,-0.00045,1.0,0.99955,0.99955,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-07,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,2,False,True,1.0,0.0,False,False,,False,False,False,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,entry_buffer_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-08,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,3,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-09,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,4,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-10,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,5,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-11,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,6,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-12,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,7,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-13,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,8,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-14,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,9,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-15,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,10,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-16,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,11,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-17,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,12,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-18,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,13,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-19,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,14,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2018-05-20,0.0,,0.0,asset_col:executed_position,,True,0.0,True,-0.1666666666666666,nezname,0.0,,False,False,False,15,False,False,1.0,0.0,False,False,,False,False,True,False,False,1.0,1.25,static,0.0,0.0,0.0,0.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,0.0,0.00045,0.0,0.0,0.0,0.0,1.0,0.99955,0.99955,False,trend_gate,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
